ZCR_mean,Spectral_Centroid_mean,Spectral_Rolloff_mean,MFCC_mean_0,MFCC_mean_1,MFCC_mean_2,MFCC_mean_3,MFCC_mean_4,MFCC_mean_5,MFCC_mean_6,MFCC_mean_7,MFCC_mean_8,MFCC_mean_9,MFCC_mean_10,MFCC_mean_11,MFCC_mean_12,MFCC_std_0,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,Gender,Age,Reason
0.14491474,1873.037896,3774.6504,-246.5801544,76.77521515,-22.96187592,-3.479046583,-11.07617569,-7.957389832,-18.88243484,-5.87539053,-5.952530861,-14.03583431,-14.86317635,-12.00911903,-11.62181377,115.8367233,24.45354652,18.22916222,15.76532745,10.88366032,14.4940033,8.910933495,7.323301315,11.98914719,7.313344479,6.238092422,6.444105148,8.194695473,0,3,1
0.110848762,1779.159972,3679.259418,-248.5507813,81.87220001,-21.3561058,4.760784149,-5.211967468,5.136688709,-13.75648499,-7.968924999,-17.61330986,-15.06278133,-17.46228218,-14.1379137,-13.34393024,19.44440269,18.93000984,12.59163284,10.35040569,7.562091827,7.956811428,10.18708611,7.064810753,6.28580904,6.819597244,5.635621071,5.382377148,5.601028442,0,3,1
0.178307769,1303.934069,2731.257167,-647.5643921,47.10694885,18.55162048,11.28088379,2.849185467,2.903591156,-2.76339221,-1.098681331,-4.91900301,-2.377078295,-6.932401657,-4.225440025,-6.303555489,74.4842453,23.66233635,12.71167469,11.48612309,5.017170429,5.115407467,4.682889462,4.035647869,3.5612638,3.977276802,5.114928722,4.442084312,3.956989527,1,3,1
0.255854895,1441.094938,2708.894782,-360.9167175,32.77732086,-3.979436636,-10.33379936,-27.91225052,-5.026433468,-3.06694603,-5.994512081,-6.175008297,2.475418568,-12.62925816,1.212791085,-7.943238258,124.2210464,22.92524719,12.13051033,28.01716805,23.67585564,14.45844746,8.814417839,8.330376625,8.961823463,11.09719467,7.030800819,12.12975883,8.111450195,1,3,1
0.05259837,935.5755124,1690.532249,-224.6179657,146.2497253,-3.384800196,9.245108604,-1.37049973,6.6333251,-7.232229233,-8.611769676,-11.51760483,-14.97569752,-14.46153545,-14.89907551,-5.380532265,26.9070282,14.6029377,9.261884689,7.896619797,6.524609566,8.372292519,5.987888813,7.408970356,4.782852173,5.177366734,5.300652504,4.855257034,4.974744797,1,0,1
0.291360558,1386.089347,2283.90195,-311.2549438,26.85078239,-74.84549713,-3.538350344,-37.34328461,21.94677353,-12.94656563,-7.347376347,-6.880248547,-9.430752754,-4.948213577,-3.842882156,-9.312538147,169.6811523,28.51122284,47.78625107,15.7526207,23.12723351,19.86184502,11.90534306,10.38163948,9.733176231,11.38505745,9.444766998,8.640435219,11.61787987,0,1,1
0.231924552,1214.792612,2125.651042,-493.8896484,55.58465195,-32.77757263,16.80285263,-22.89164162,-9.799561501,-16.14050293,-13.42806816,-13.41158295,-7.706179619,-4.490831852,-6.410601616,-7.981134892,153.3795624,33.69293594,45.21196747,22.2931366,15.51261139,11.83914566,12.20621204,8.250034332,10.52284813,9.3527174,10.27968407,11.3893404,10.43976498,1,2,1
0.240593405,1513.66884,3091.873468,-607.876709,39.36053085,11.18815804,-5.08109045,-1.417026639,-1.879721999,-3.771281719,-8.722812653,-10.57894516,-6.470101357,-8.143541336,-5.910606384,-9.770319939,43.7687149,13.52256107,12.09160328,9.953929901,5.5045228,8.230340004,4.695685863,5.42282629,5.866972446,5.121452808,4.716150284,4.598851204,5.180011272,1,0,1
0.101923694,1429.801863,2859.838756,-190.4293365,111.6656418,-13.39143658,9.740345955,-18.12722778,-7.134215832,-20.59134865,-6.700928688,-6.415615559,-12.1531868,-5.144858837,-1.488702178,-10.4362545,32.0334053,14.05014801,10.38403797,11.92630291,7.813781738,7.071261883,6.957951546,5.600697517,7.720122814,6.331760883,7.404010773,5.316610813,5.272767067,0,0,1
0.107845498,1623.659149,3177.475742,-346.5089111,46.35776901,-6.183627605,0.955267787,-10.74997139,-13.06617641,-26.9002533,-23.73058891,-19.74159431,-16.61807823,-9.379924774,-5.975790501,8.277541161,122.9392929,26.39774323,18.55531502,11.32090664,11.85635853,10.84133434,15.86349869,16.32230568,11.72237492,9.705001831,9.468247414,13.59961128,18.30103683,1,4,1
